epoch,train_loss,train_accuracy,val_loss,val_accuracy
0,2.772886276245117,0.0611979179084301,2.7081990242004395,0.06676136702299118
1,2.7085771560668945,0.058560363948345184,2.7081549167633057,0.06676136702299118
2,2.7181344032287598,0.06253338605165482,2.7082576751708984,0.06676136702299118
3,2.709040403366089,0.060296475887298584,2.7081544399261475,0.06676136702299118
4,2.708573341369629,0.05929487198591232,2.708118200302124,0.06676136702299118
5,2.70849609375,0.05889423191547394,2.708181142807007,0.06676136702299118
6,2.708543539047241,0.055154915899038315,2.7081263065338135,0.06676136702299118
7,2.708488941192627,0.05755876004695892,2.708134412765503,0.06676136702299118
8,2.7084927558898926,0.05755876004695892,2.708139419555664,0.06676136702299118
9,2.708493232727051,0.05755876004695892,2.7081422805786133,0.06676136702299118
10,2.7084951400756836,0.057692307978868484,2.708143711090088,0.06676136702299118
11,2.7084949016571045,0.057825855910778046,2.7081449031829834,0.06676136702299118
